14:21:03	47.61040509	12.97431757	666.883	
14:21:04	47.61040509	12.97431757	666.883	
14:21:05	47.61040509	12.97431757	666.883	
14:21:06	47.61040509	12.97431757	666.883	
14:21:07	47.61040509	12.97431757	666.883	
14:21:08	47.61040509	12.97431757	666.883	
14:21:09	47.61040509	12.97431757	666.883	
14:21:10	47.61040509	12.97431757	666.883	
14:21:11	47.61040509	12.97431757	666.883	
14:21:12	47.61040509	12.97431757	666.883	
14:21:13	47.61040509	12.97431757	666.883	
14:21:14	47.61040509	12.97431757	666.883	
14:21:15	47.61040509	12.97431757	666.883	
14:21:16	47.61040509	12.97431757	666.883	
14:21:17	47.61040509	12.97431757	666.883	
14:21:18	47.61040509	12.97431757	666.883	
14:21:19	47.61040509	12.97431757	666.883	
14:21:20	47.61040509	12.97431757	666.883	
14:21:21	47.61040509	12.97431757	666.883	
14:21:22	47.61040509	12.97431757	666.883	
14:21:23	47.61040509	12.97431757	666.883	
14:21:24	47.61040509	12.97431757	666.883	
14:21:25	47.61040509	12.97431757	666.883	
14:21:26	47.61040509	12.97431757	666.883	
14:21:27	47.61040509	12.97431757	666.883	
14:21:28	47.61040509	12.97431757	666.883	
14:21:29	47.61040558	12.97431519	666.874	
14:21:30	47.61040691	12.97430598	666.896	
14:21:31	47.61040852	12.97428864	666.909	
14:21:32	47.61040996	12.97426305	666.928	
14:21:33	47.61041381	12.9742201	666.942	
14:21:34	47.61042429	12.97415572	666.977	
14:21:35	47.61044337	12.97406929	667.049	
14:21:36	47.61046649	12.97396715	667.175	
14:21:37	47.6104899	12.97386562	667.296	
14:21:38	47.61051727	12.97375073	667.427	
14:21:39	47.6105493	12.97361906	667.545	
14:21:40	47.61058501	12.97347078	667.723	
14:21:41	47.61062233	12.97331057	667.914	
14:21:42	47.61065845	12.97315278	668.096	
14:21:43	47.61069473	12.97299343	668.267	
14:21:44	47.61073315	12.97282558	668.431	
14:21:45	47.61077288	12.97265201	668.585	
14:21:46	47.61081263	12.97247921	668.769	
14:21:47	47.61085168	12.97231006	668.934	
14:21:48	47.6108907	12.97214438	669.048	
14:21:49	47.61092974	12.97197865	669.196	
14:21:50	47.61096875	12.97181359	669.312	
14:21:51	47.61100725	12.97164953	669.423	
14:21:52	47.61104593	12.97148402	669.555	
14:21:53	47.61108509	12.97131672	669.689	
14:21:54	47.61112454	12.97114759	669.831	
14:21:55	47.61116388	12.97097789	669.931	
14:21:56	47.61120296	12.97081052	670.082	
14:21:57	47.61124162	12.97064634	670.230	
14:21:58	47.61127944	12.97048609	670.336	
14:21:59	47.61131471	12.97033177	670.438	
14:22:00	47.61134614	12.97018341	670.564	
14:22:01	47.61137098	12.97003976	670.623	
14:22:02	47.61138664	12.96990149	670.749	
14:22:03	47.61138862	12.9697676	670.838	
14:22:04	47.61137348	12.96963159	670.926	
14:22:05	47.61133732	12.96950067	670.998	
14:22:06	47.61127732	12.96938668	670.971	
14:22:07	47.61119601	12.96929316	670.918	
14:22:08	47.61110204	12.96920611	670.870	
14:22:09	47.61100364	12.96911405	670.840	
14:22:10	47.61090307	12.96902035	670.787	
14:22:11	47.61080164	12.96892323	670.805	
14:22:12	47.61069898	12.96882597	670.833	
14:22:13	47.61059738	12.96872883	670.898	
14:22:14	47.61049906	12.96863342	670.978	
14:22:15	47.61040304	12.96853737	671.167	
14:22:16	47.61031121	12.96843699	671.236	
14:22:17	47.61022913	12.96832306	671.347	
14:22:18	47.61015888	12.9681936	671.388	
14:22:19	47.61010095	12.96805295	671.475	
14:22:20	47.61003224	12.96790412	671.122	
14:22:21	47.60995855	12.96776883	670.938	
14:22:22	47.60988189	12.96764452	670.907	
14:22:23	47.60980423	12.96752875	671.011	
14:22:24	47.60972757	12.96741917	671.235	
14:22:25	47.60965387	12.96731347	671.564	
14:22:26	47.60958516	12.96720941	671.987	
14:22:27	47.60952349	12.96710474	672.491	
14:22:28	47.609471	12.96699721	673.064	
14:22:29	47.60942991	12.96688455	673.696	
14:22:30	47.60940257	12.96676444	674.377	
14:22:31	47.60939145	12.96663447	675.098	
14:22:32	47.6093992	12.96649214	675.849	
14:22:33	47.60942863	12.96633484	676.621	
14:22:34	47.60946863	12.96616497	677.175	
14:22:35	47.60950817	12.96598484	677.272	
14:22:36	47.60954842	12.96580441	677.284	
14:22:37	47.60958831	12.96562528	677.366	
14:22:38	47.60962549	12.96544696	677.530	
14:22:39	47.60965672	12.96526534	677.780	
14:22:40	47.60968058	12.96507788	678.114	
14:22:41	47.60969482	12.96488737	678.644	
14:22:42	47.60970248	12.96469939	679.343	
14:22:43	47.60970536	12.96451513	679.923	
14:22:44	47.60970332	12.96433435	680.525	
14:22:45	47.609696	12.96415379	681.163	
14:22:46	47.60968228	12.96397317	681.810	
14:22:47	47.60966168	12.96379346	682.457	
14:22:48	47.60963483	12.96361466	683.109	
14:22:49	47.6096047	12.96343749	683.777	
14:22:50	47.60957185	12.96326499	684.466	
14:22:51	47.60953471	12.96309487	685.079	
14:22:52	47.6094939	12.96292545	685.707	
14:22:53	47.60945029	12.9627565	686.367	
14:22:54	47.60940638	12.96258835	687.037	
14:22:55	47.60936467	12.96242189	687.654	
14:22:56	47.60932359	12.96225963	688.239	
14:22:57	47.60928357	12.96210531	688.763	
14:22:58	47.60924595	12.96195802	689.200	
14:22:59	47.60921136	12.9618213	689.661	
14:23:00	47.6091814	12.96170053	689.959	
14:23:01	47.60915545	12.9615937	690.170	
14:23:02	47.60913514	12.96150443	690.322	
14:23:03	47.60912047	12.96143481	690.449	
